,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price,address
0,,None,None,,"Rock Springs, WY 82901",,"$725,000",0 Gateway
1,,4 Beds,4 Full Baths,,"Rock Springs, WY 82901",0.21 Acres,"$452,900",1003 Winchester Blvd.
2,"3,154 Sq. Ft",5 Beds,3 Full Baths,,"Rock Springs, WY 82901",,"$396,900",600 Talladega
3,"3,076 Sq. Ft",4 Beds,3 Full Baths,1 Half Bath,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900",3239 Spearhead Way
4,"1,172 Sq. Ft",3 Beds,3 Full Baths,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000",522 Emerald Street
5,"1,932 Sq. Ft",4 Beds,2 Full Baths,,"Rock Springs, WY 82901",0.27 Acres,"$252,900",1302 Veteran's Drive
6,"1,676 Sq. Ft",4 Beds,3 Full Baths,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000",1021 Cypress Cir
7,"1,344 Sq. Ft",3 Beds,2 Full Baths,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000",913 Madison Dr
8,"1,920 Sq. Ft",3 Beds,2 Full Baths,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900",1344 Teton Street
9,"1,664 Sq. Ft",3 Beds,2 Full Baths,,"Rock Springs, WY 82901",2.02 Acres,"$196,900",4 Minnies Lane
